lpsolve 5.5.2.5-2
lsb-release 1.4-12
lshw B.02.18-2
lua 5.3.4-2
lua51 5.1.5-6
lvm2 2.02.177-1
lxappearance 0.6.3-1
lxinput 0.3.5-1
lxmenu-data 0.1.5-1
lz4 1:1.8.0-1
lzo 2.10-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.18-1
maia-console 1.2-6
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.14-1
manjaro-alsa 2012.11-1
manjaro-base-skel 20171029-3
manjaro-browser-settings 20161221-1
manjaro-firmware 20160419-1
manjaro-hello 0.5.11-1
manjaro-hotfixes 2015.12-3
manjaro-i3-settings 20180111-2
manjaro-icons 20170701-1
manjaro-keyring 20171027-1
manjaro-printer 20170501-1
manjaro-release 17.1.2-1
manjaro-settings-manager 0.5.4-8
manjaro-settings-manager-notifier 0.5.4-8
manjaro-system 20180107-2
markdown_previewer 0-1
mdadm 4.0-1
memtest86+ 5.01-2
menu-cache 1.1.0-1
mesa 17.3.2-2
mesa-demos 8.3.0-4
mhwd 0.6.1-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-1
mhwd-db 0.6.1-1
mhwd-nvidia 1:384.111-2
mhwd-nvidia-304xx 1:304.137-1
mhwd-nvidia-340xx 340.104-1
mhwd-tui 0.4-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mkinitcpio-openswap 0.1.0-2
mlocate 0.26-6
mobile-broadband-provider-info 20170310-1
moc 1:2.5.2-1
modemmanager 1.6.12-1
morc_menu 1.0-2
mozilla-common 1.4-4
mpfr 3.1.6.p1-1
mpg123 1.25.8-1
mtdev 1.1.5-1
mutagen 1.39-1
nano 2.9.2-1
ncdu 1.12-1
ncurses 6.0+20170902-3
ncurses5-compat-libs 6.0+20170902-1
neon 0.30.2-2
net-snmp 5.7.3-7
netctl 1.15-1
nettle 3.4-1
network-manager-applet 1.8.11dev+7+ga52ccb2f-1
networkmanager 1.10.3dev+38+g78ef57197-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.1dev+10+ge4d8cda-2
networkmanager-pptp 1.2.4-3
networkmanager-vpnc 1.2.4-3
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
ninja 1.8.2-1
nitrogen 1.6.1-1
nm-connection-editor 1.8.11dev+7+ga52ccb2f-1
noto-fonts 20171025-2
npth 1.5-1
nspr 4.17-1
nss 3.34.1-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
ntp 4.2.8.p10-2
nvidia-utils 1:384.111-3
ocl-icd 2.2.11-1
open-fuse-iso 1.1-1
openal 1.18.2-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.6p1-2
openssl 1.1.0.g-1
openssl-1.0 1.0.2.n-1
openvpn 2.4.4-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-1
p11-kit 0.23.9-1
p7zip 16.02-3
pacaur 4.7.10-1
package-query 1.9-1
pacli 0.10-3
pacman 5.0.2-2
pacman-mirrors 4.7.0-1
pacui 1.8-1
pam 1.3.0-1
pamac 6.2.2-5
pambase 20171006-1
pango 1.40.14-1
pangomm 2.40.1-2
parted 3.2-6
patch 2.7.5-1
pciutils 3.5.6-1
pcmanfm 1.2.5-2
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pcsclite 1.8.23-1
pepper-flash 28.0.0.137-1
perl 5.26.1-1
perl-clone 0.39-4
perl-dbi 1.639-1
perl-error 0.17025-2
perl-file-basedir 0.07-3
perl-file-desktopentry 0.22-3
perl-file-mimeinfo 0.28-3
perl-file-which 1.22-1
perl-ipc-system-simple 1.25-3
perl-uri 1.73-1
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-sax 0.99-5
